,Ozone_ppb,Month
1429,21.064664705882358,2013-11-30
1430,22.381036809815946,2013-12-01
1431,20.677327160493828,2013-12-02
1432,28.40369090909092,2013-12-03
1433,22.159412121212124,2013-12-04
1434,20.525640243902444,2013-12-05
1435,25.046054545454545,2013-12-06
1436,25.240963414634127,2013-12-07
1437,23.925196319018408,2013-12-08
1438,22.708190184049073,2013-12-09
1439,17.99470731707316,2013-12-10
1440,17.555024390243908,2013-12-11
1441,15.922287425149708,2013-12-12
1442,17.871149700598806,2013-12-13
1443,21.544143712574854,2013-12-14
1444,21.012987951807233,2013-12-15
1445,18.02169277108433,2013-12-16
1446,15.072453987730064,2013-12-17
1447,20.306871165644168,2013-12-18
1448,23.465779141104303,2013-12-19
1449,19.415231707317066,2013-12-20
1450,18.596687116564414,2013-12-21
1451,20.271895705521466,2013-12-22
1452,20.1061472392638,2013-12-23
1453,21.12571779141105,2013-12-24
1454,25.988705521472394,2013-12-25
1455,22.41662195121951,2013-12-26
1456,17.702670731707325,2013-12-27
1457,21.133945121951214,2013-12-28
1458,25.454503067484666,2013-12-29
1459,20.258080246913586,2013-12-30
1460,21.937425,2013-12-31
1461,22.087106250000005,2014-01-01
1462,19.39840251572327,2014-01-02
1463,18.22078125,2014-01-03
1464,22.78790566037736,2014-01-04
1465,25.564610062893085,2014-01-05
1466,19.185320754716987,2014-01-06
1467,17.153459119496862,2014-01-07
1468,19.776259493670878,2014-01-08
1469,21.621465408805033,2014-01-09
1470,18.971335403726698,2014-01-10
1471,23.137447204968943,2014-01-11
1472,25.646166666666673,2014-01-12
1473,22.206913580246926,2014-01-13
1474,24.971760736196327,2014-01-14
1475,24.075234939759035,2014-01-15
1476,25.63145783132528,2014-01-16
1477,23.091390243902445,2014-01-17
1478,22.904618181818172,2014-01-18
1479,23.79492727272727,2014-01-19
1480,23.14030303030304,2014-01-20
1481,19.429331288343555,2014-01-21
1482,22.880878048780502,2014-01-22
1483,27.529545454545456,2014-01-23
1484,23.62776219512196,2014-01-24
1485,25.354689024390243,2014-01-25
1486,26.26867272727273,2014-01-26
1487,23.699584337349396,2014-01-27
1488,23.482096385542174,2014-01-28
1489,23.521842424242426,2014-01-29
1490,27.949251533742327,2014-01-30
1491,27.08111042944785,2014-01-31
1492,25.879141104294483,2014-02-01
1493,28.371012269938657,2014-02-02
1494,25.77268292682928,2014-02-03
1495,25.19960843373495,2014-02-04
1496,26.554132530120487,2014-02-05
1497,24.95433132530121,2014-02-06
1498,27.375469879518075,2014-02-07
1499,25.257656626506012,2014-02-08
1500,22.97508484848485,2014-02-09
1501,20.90709696969698,2014-02-10
1502,19.13782530120482,2014-02-11
1503,21.337413173652692,2014-02-12
1504,20.23093939393938,2014-02-13
1505,21.465397590361466,2014-02-14
1506,22.30530357142857,2014-02-15
1507,25.37937500000001,2014-02-16
1508,26.84339285714286,2014-02-17
1509,25.352783132530128,2014-02-18
1510,29.981712574850288,2014-02-19
1511,25.1340843373494,2014-02-20
1512,28.81307784431139,2014-02-21
1513,30.677315151515145,2014-02-22
1514,34.57506666666665,2014-02-23
1515,34.72871686746987,2014-02-24
1516,36.83821686746987,2014-02-25
1517,29.144473053892227,2014-02-26
1518,30.48808484848485,2014-02-27
1519,35.79705421686747,2014-02-28
1520,31.42485365853659,2014-03-01
1521,26.691981595092024,2014-03-02
1522,25.335790123456782,2014-03-03
1523,23.89451851851852,2014-03-04
1524,27.889852760736183,2014-03-05
1525,31.01575609756098,2014-03-06
1526,27.214098765432105,2014-03-07
1527,30.558709876543226,2014-03-08
1528,31.637621118012422,2014-03-09
1529,35.24721604938272,2014-03-10
1530,35.25387037037037,2014-03-11
1531,32.71886163522012,2014-03-12
1532,32.27450000000001,2014-03-13
1533,31.82346875,2014-03-14
1534,34.136799999999994,2014-03-15
1535,39.88025625,2014-03-16
1536,37.85120000000001,2014-03-17
1537,32.659720496894415,2014-03-18
1538,33.61634591194971,2014-03-19
1539,37.35163125,2014-03-20
1540,40.10234999999999,2014-03-21
1541,37.71926415094341,2014-03-22
1542,38.64818867924527,2014-03-23
1543,40.23358385093167,2014-03-24
1544,39.51695031055899,2014-03-25
1545,34.889310559006226,2014-03-26
1546,33.3124465408805,2014-03-27
1547,31.224250000000005,2014-03-28
1548,35.18383749999997,2014-03-29
1549,35.52601257861633,2014-03-30
1550,38.52861818181819,2014-03-31
1551,39.020355029585815,2014-04-01
1552,33.29575294117647,2014-04-02
1553,35.77777514792899,2014-04-03
1554,35.54615976331363,2014-04-04
1555,34.23041666666667,2014-04-05
1556,32.50091666666668,2014-04-06
1557,35.35914035087719,2014-04-07
1558,38.96946511627909,2014-04-08
1559,36.75397660818713,2014-04-09
1560,35.05633918128657,2014-04-10
1561,39.212941520467844,2014-04-11
1562,40.922970760233895,2014-04-12
1563,38.29249704142009,2014-04-13
1564,39.35950000000003,2014-04-14
1565,41.80499408284022,2014-04-15
1566,40.2687023809524,2014-04-16
1567,41.75630588235296,2014-04-17
1568,39.38142105263158,2014-04-18
1569,40.75272941176471,2014-04-19
1570,41.90175294117649,2014-04-20
1571,46.991812865497096,2014-04-21
1572,44.08478362573097,2014-04-22
1573,40.47227325581394,2014-04-23
1574,42.54162068965515,2014-04-24
